date,close
2026-01-02,100.00
2026-01-03,100.65
2026-01-04,100.50
2026-01-05,101.45
2026-01-06,101.30
2026-01-07,101.75
2026-01-08,102.40
2026-01-09,102.25
2026-01-10,103.20
2026-01-11,103.05
2026-01-12,103.50
2026-01-13,104.15
2026-01-14,104.00
2026-01-15,104.95
2026-01-16,104.80
2026-01-17,105.25
2026-01-18,105.90
2026-01-19,105.75
2026-01-20,106.70
2026-01-21,106.55
2026-01-22,107.00
2026-01-23,107.65
2026-01-24,107.50
2026-01-25,108.45
2026-01-26,108.30
2026-01-27,108.75
2026-01-28,109.40
2026-01-29,109.25
2026-01-30,110.20
2026-01-31,110.05
2026-02-01,110.50
2026-02-02,111.15
2026-02-03,111.00
2026-02-04,111.95
2026-02-05,111.80
2026-02-06,112.25
2026-02-07,112.90
2026-02-08,112.75
2026-02-09,113.70
2026-02-10,113.55
2026-02-11,114.00
2026-02-12,114.65
2026-02-13,114.50
2026-02-14,115.45
2026-02-15,115.30
2026-02-16,115.75
2026-02-17,116.40
2026-02-18,116.25
2026-02-19,117.20
2026-02-20,117.05
2026-02-21,117.50
2026-02-22,118.15
2026-02-23,118.00
2026-02-24,118.95
2026-02-25,118.80
2026-02-26,119.25
2026-02-27,119.90
2026-02-28,119.75
2026-03-01,120.70
2026-03-02,120.55
2026-03-03,121.00
2026-03-04,121.65
2026-03-05,121.50
2026-03-06,122.45
2026-03-07,122.30
